caseId,category,runIndex,outcome,accepted,acceptanceError,errorType,errorMessage,wallClockMs,seed,robotCount,taskCount,dynamicTaskCount,metrics,timeline,trajectory
integrated-demo-without-conflict-avoidance,integrated-direct,1,completed,True,,,,495.1,,4,6,0,"{""makespan"":233,""totalDistance"":532,""conflictCount"":1,""loadBalance"":97.54,""assignedTaskCount"":6,""deadlineMissCount"":0,""averageLateness"":0.0,""failureCount"":0,""replanTimeMs"":90.49}",[],[]
integrated-demo-without-conflict-avoidance,integrated-direct,2,completed,True,,,,509.44,,4,6,0,"{""makespan"":233,""totalDistance"":532,""conflictCount"":1,""loadBalance"":97.54,""assignedTaskCount"":6,""deadlineMissCount"":0,""averageLateness"":0.0,""failureCount"":0,""replanTimeMs"":112.29}",[],[]
integrated-demo-without-conflict-avoidance,integrated-direct,3,completed,True,,,,469.39,,4,6,0,"{""makespan"":233,""totalDistance"":532,""conflictCount"":1,""loadBalance"":97.54,""assignedTaskCount"":6,""deadlineMissCount"":0,""averageLateness"":0.0,""failureCount"":0,""replanTimeMs"":82.42}",[],[]
integrated-demo-without-conflict-avoidance,integrated-direct,4,completed,True,,,,461.04,,4,6,0,"{""makespan"":233,""totalDistance"":532,""conflictCount"":1,""loadBalance"":97.54,""assignedTaskCount"":6,""deadlineMissCount"":0,""averageLateness"":0.0,""failureCount"":0,""replanTimeMs"":86.06}",[],[]
integrated-demo-without-conflict-avoidance,integrated-direct,5,completed,True,,,,470.32,,4,6,0,"{""makespan"":233,""totalDistance"":532,""conflictCount"":1,""loadBalance"":97.54,""assignedTaskCount"":6,""deadlineMissCount"":0,""averageLateness"":0.0,""failureCount"":0,""replanTimeMs"":87.45}",[],[]
integrated-demo-with-conflict-avoidance,integrated-direct,1,completed,True,,,,430.57,,4,6,0,"{""makespan"":235,""totalDistance"":534,""conflictCount"":0,""loadBalance"":98.05,""assignedTaskCount"":6,""deadlineMissCount"":0,""averageLateness"":0.0,""failureCount"":0,""replanTimeMs"":48.94}",[],[]
integrated-demo-with-conflict-avoidance,integrated-direct,2,completed,True,,,,421.57,,4,6,0,"{""makespan"":235,""totalDistance"":534,""conflictCount"":0,""loadBalance"":98.05,""assignedTaskCount"":6,""deadlineMissCount"":0,""averageLateness"":0.0,""failureCount"":0,""replanTimeMs"":44.67}",[],[]
integrated-demo-with-conflict-avoidance,integrated-direct,3,completed,True,,,,424.74,,4,6,0,"{""makespan"":235,""totalDistance"":534,""conflictCount"":0,""loadBalance"":98.05,""assignedTaskCount"":6,""deadlineMissCount"":0,""averageLateness"":0.0,""failureCount"":0,""replanTimeMs"":50.16}",[],[]
integrated-demo-with-conflict-avoidance,integrated-direct,4,completed,True,,,,418.39,,4,6,0,"{""makespan"":235,""totalDistance"":534,""conflictCount"":0,""loadBalance"":98.05,""assignedTaskCount"":6,""deadlineMissCount"":0,""averageLateness"":0.0,""failureCount"":0,""replanTimeMs"":45.94}",[],[]
integrated-demo-with-conflict-avoidance,integrated-direct,5,completed,True,,,,421.65,,4,6,0,"{""makespan"":235,""totalDistance"":534,""conflictCount"":0,""loadBalance"":98.05,""assignedTaskCount"":6,""deadlineMissCount"":0,""averageLateness"":0.0,""failureCount"":0,""replanTimeMs"":42.45}",[],[]
